"longitude" "latitude" "date" "ozone"
"-117.05611" "32.62278" "08-01-2001" "36.5"
"-116.94167" "32.79139" "08-01-2001" "27"
"-117.36694" "33.20278" "08-01-2001" "29.286"
"-117.13333" "32.82833" "08-01-2001" "32.375"
"-117.26334" "32.9525" "08-01-2001" "31.5"
"-117.07417" "33.12778" "08-01-2001" "34.75"
"-116.75" "32.83333" "08-01-2001" "45.875"
"-117.15278" "32.70889" "08-01-2001" "29.75"
"-117.39667" "33.21722" "08-01-2001" "34"
"-122.38695" "37.755" "08-01-2001" "23.125"
"-121.14722" "37.90694" "08-01-2001" "49.5"
"-121.2675" "37.95083" "08-01-2001" "45.375"
"-121.53445" "37.73806" "08-01-2001" "34.875"
"-120.69" "35.63167" "08-01-2001" "39.125"
"-120.63333" "35.125" "08-01-2001" "29"
"-120.65417" "35.28389" "08-01-2001" "25.625"
"-120.79389" "35.36833" "08-01-2001" "29"
"-120.38722" "35.02833" "08-01-2001" "36"
"-120.66805" "35.49139" "08-01-2001" "39.5"
"-122.20278" "37.48111" "08-01-2001" "22"
"-120.02444" "34.46222" "08-01-2001" "50.5"
"-120.43667" "34.94917" "08-01-2001" "26.75"
"-120.42778" "34.72556" "08-01-2001" "42.125"
"-119.79056" "34.54139" "08-01-2001" "57.25"
"-120.19556" "34.5275" "08-01-2001" "42.125"
"-119.4575" "34.40278" "08-01-2001" "62.5"
"-120.04583" "34.48972" "08-01-2001" "54.75"
"-120.45639" "34.6375" "08-01-2001" "32.5"
"-119.82778" "34.44528" "08-01-2001" "52.125"
"-120.05" "34.01639" "08-01-2001" "40.625"
"-120.07083" "34.60278" "08-01-2001" "43.375"
"-120.63028" "34.59611" "08-01-2001" "30.125"
"-121.57445" "37" "08-01-2001" "29.125"
"-121.8875" "37.34" "08-01-2001" "26.5"
"-121.97861" "37.22694" "08-01-2001" "26.5"
"-121.8425" "37.40194" "08-01-2001" "21.5"
"-121.59917" "37.07944" "08-01-2001" "30.5"
"-122.05139" "37.35527" "08-01-2001" "19.625"
"-122.19334" "37.01194" "08-01-2001" "27"
"-121.79583" "36.93333" "08-01-2001" "27.375"
"-122.0125" "37.05222" "08-01-2001" "27.25"
"-121.99306" "36.98583" "08-01-2001" "26.143"
"-122.29778" "40.45306" "08-01-2001" "38.6"
"-121.5725" "40.53695" "08-01-2001" "64"
"-122.05666" "38.24583" "08-01-2001" "28.5"
"-122.235" "38.10361" "08-01-2001" "24.25"
"-121.96167" "38.3525" "08-01-2001" "36.225"
"-122.70778" "38.44528" "08-01-2001" "27.429"
"-122.89833" "38.65667" "08-01-2001" "32.857"
"-120.99361" "37.64167" "08-01-2001" "53"
"-120.83583" "37.48833" "08-01-2001" "58.875"
"-121.51417" "38.84833" "08-01-2001" "48.125"
"-121.6175" "39.13889" "08-01-2001" "58.625"
"-121.75" "39.15833" "08-01-2001" "50.625"
"-122.09278" "40.26222" "08-01-2001" "64.5"
"-122.25694" "40.17083" "08-01-2001" "52.563"
"-118.77805" "36.56722" "08-01-2001" "74.375"
"-118.7625" "36.42917" "08-01-2001" "79.375"
"-118.82694" "36.48917" "08-01-2001" "79.5"
"-119.29028" "36.33222" "08-01-2001" "68.375"
"-120.37861" "37.98167" "08-01-2001" "67"
"-120.29972" "38.05056" "08-01-2001" "73.125"
"-119.41583" "34.38694" "08-01-2001" "63.375"
"-118.86945" "34.21" "08-01-2001" "56.5"
"-118.81" "34.40461" "08-01-2001" "65.625"
"-119.23028" "34.44833" "08-01-2001" "68.375"
"-118.68472" "34.2775" "08-01-2001" "64.625"
"-119.31361" "34.2804" "08-01-2001" "55.625"
"-119.1425" "34.255" "08-01-2001" "53.375"
"-121.775" "38.53333" "08-01-2001" "38.5"
"-121.72778" "38.66195" "08-01-2001" "45.638"
"-104.94889" "39.83917" "08-01-2001" "53.25"
"-104.95722" "39.56889" "08-01-2001" "68.375"
"-105.23833" "39.95694" "08-01-2001" "61.571"
"-105.03083" "39.75195" "08-01-2001" "59.375"
"-105.065" "39.5375" "08-01-2001" "62.25"
"-104.81667" "38.95833" "08-01-2001" "63.375"
"-105.09917" "39.80056" "08-01-2001" "60.25"
"-105.13889" "39.63889" "08-01-2001" "51.125"
"-105.18833" "39.91278" "08-01-2001" "67.75"
"-105.17861" "39.74194" "08-01-2001" "71.75"
"-107.62778" "37.13667" "08-01-2001" "39.5"
"-105.545" "40.27722" "08-01-2001" "54.625"
"-105.07944" "40.57639" "08-01-2001" "40"
"-108.49028" "37.19833" "08-01-2001" "56.375"
"-104.69222" "40.41639" "08-01-2001" "50.5"
"-73.58528" "41.00361" "08-01-2001" "97.125"
"-73.44473" "41.40139" "08-01-2001" "69.125"
